FIRST.NAME,LAST.NAME,GENDER,SPORT,EVENT.POSITION.CLASS,OLYMPIC.EXPERIENCE,HEIGHT,WEIGHT,DOB
Stacey,Cook,F,Alpine Skiing,TBD,"2006, 2010, 2014","5'4""",160,7/3/1984
Breezy,Johnson,F,Alpine Skiing,TBD,,"5'8""",,1/19/1996
Tricia,Mangan,F,Alpine Skiing,TBD,,"5'8""",140,3/7/1997
Megan,McJames,F,Alpine Skiing,Giant Slalom,"2010, 2014","5'6""",135,9/24/1987
Alice,McKennis,F,Alpine Skiing,TBD,2010,"5'6""",158,8/18/1989
Alice,Merryweather,F,Alpine Skiing,TBD,,"5'8""",150,10/5/1996
Laurenne,Ross,F,Alpine Skiing,TBD,2014,"5'7""",150,8/17/1988
Mikaela,Shiffrin,F,Alpine Skiing,"Downhill, Giant Slalom, Slalom, Super-G",2014,"5'7""",146,3/13/1995
Resi,Stiegler,F,Alpine Skiing,Slalom,"2006, 2014","5'7""",135,11/14/1985
Lindsey,Vonn,F,Alpine Skiing,"Alpine Combined, Downhill, Super-G","2002, 2006, 2010","5'10""",140,10/18/1984
Jacqueline,Wiles,F,Alpine Skiing,Will Not Compete,2014,"5'7""",160,7/13/1992
Bryce,Bennett,M,Alpine Skiing,"Alpine Combined, Downhill",,"6'7""",220,7/14/1992
Tommy,Biesemeyer,M,Alpine Skiing,Super-G,,"6'0""",190,1/30/1989
David,Chodounsky,M,Alpine Skiing,Slalom,2014,"5'11""",185,6/25/1984
Ryan,Cochran-Siegle,M,Alpine Skiing,Alpine Combined,,"6'1""",200,3/27/1992
Mark,Engel,M,Alpine Skiing,TBD,,"5'9""",175,10/1/1991
Tommy,Ford,M,Alpine Skiing,Giant Slalom,2010,"5'11""",165,3/20/1989
Jared,Goldberg,M,Alpine Skiing,Downhill,2014,"6'0""",200,6/17/1991
Tim,Jitloff,M,Alpine Skiing,TBD,2014,"5'11""",195,1/11/1985
Nolan,Kasper,M,Alpine Skiing,Slalom,"2010, 2014","5'8""",180,3/27/1989
Ted,Ligety,M,Alpine Skiing,Giant Slalom,"2006, 2010, 2014","5'11""",190,8/31/1984
Wiley,Maple,M,Alpine Skiing,TBD,,"6'2""",220,5/25/1990
Steven,Nyman,M,Alpine Skiing,Will Not Compete,"2006, 2010, 2014","6'4""",220,2/12/1982
Andrew,Weibrecht,M,Alpine Skiing,Super-G,"2010, 2014","5'7""",190,2/10/1986
Emily,Dreissigacker,F,Biathlon,TBD,,"5'9""",150,11/29/1988
Susan,Dunklee,F,Biathlon,TBD,2014,"5'7""",143,2/13/1986
